StudentQual,MotherQual,FatherQual,EduSpecNeed,TuitUTD,Scholarship,EnrollAge,UnemploymentRate,InflationRate,GDP,Target,SecondSemCredits
2,4,2,0,1,0,20,10.8,1.4,1.74,-1,
2,3,5,0,0,0,19,13.9,-0.3,0.79,1,13.66666667
2,4,0,0,0,0,19,10.8,1.4,1.74,-1,
2,4,0,0,1,0,20,9.4,-0.8,-3.12,1,12.4
2,4,1,0,1,0,45,13.9,-0.3,0.79,1,13
1,4,0,0,1,0,50,16.2,0.3,-0.92,1,11.5
2,4,1,0,1,1,18,15.5,2.8,-4.06,1,14.345
2,4,0,0,0,0,22,15.5,2.8,-4.06,-1,
2,3,3,0,1,1,21,16.2,0.3,-0.92,1,14.14285714
2,3,2,0,0,0,18,8.9,1.4,3.51,-1,13.5
2,4,2,0,1,0,18,13.9,-0.3,0.79,1,14.2
2,4,1,0,1,1,18,12.7,3.7,-1.7,1,13.21428571
2,4,0,0,1,0,19,12.7,3.7,-1.7,-1,
3,3,3,0,1,1,21,8.9,1.4,3.51,1,11
2,4,0,0,1,1,18,10.8,1.4,1.74,1,12
2,4,0,0,1,0,20,15.5,2.8,-4.06,-1,
2,4,1,0,1,0,18,10.8,1.4,1.74,0,11
2,4,3,0,1,0,18,15.5,2.8,-4.06,1,14.545
2,5,2,0,1,0,20,10.8,1.4,1.74,1,12.25
2,4,2,0,1,0,18,16.2,0.3,-0.92,0,13.5
2,3,3,0,1,1,21,11.1,0.6,2.02,1,
2,3,1,0,1,0,20,12.7,3.7,-1.7,0,11.425
2,4,2,0,1,0,18,12.7,3.7,-1.7,1,12.85714286
2,3,1,0,1,1,19,11.1,0.6,2.02,1,12.28571429
2,4,2,0,1,0,19,11.1,0.6,2.02,1,14.11428571
2,4,1,0,1,1,18,7.6,2.6,0.32,0,11
2,4,1,0,1,0,21,16.2,0.3,-0.92,1,13.28571429
2,4,2,0,1,0,18,9.4,-0.8,-3.12,0,13
2,4,3,0,1,0,20,16.2,0.3,-0.92,1,12.33333333
2,5,5,0,1,0,19,16.2,0.3,-0.92,0,13.71666667
3,6,7,0,1,0,21,16.2,0.3,-0.92,0,1.57142857
2,0,5,0,1,0,20,8.9,1.4,3.51,1,13.4
2,3,3,0,0,0,18,8.9,1.4,3.51,0,13.5
2,4,3,0,1,0,19,12.4,0.5,1.79,1,14.375
2,5,0,0,1,0,34,13.9,-0.3,0.79,1,13.42857143
2,4,0,0,0,0,37,8.9,1.4,3.51,-1,1
1,2,0,0,1,0,43,7.6,2.6,0.32,-1,
2,4,0,0,1,0,55,16.2,0.3,-0.92,-1,12
2,4,2,0,1,0,39,7.6,2.6,0.32,1,11.6
3,6,6,0,0,0,20,12.4,0.5,1.79,-1,12
2,5,5,0,1,0,18,12.7,3.7,-1.7,-1,
2,5,2,0,1,0,22,8.9,1.4,3.51,1,15.8
2,3,5,1,1,0,22,11.1,0.6,2.02,1,14.34285714
2,3,1,0,0,0,20,12.4,0.5,1.79,-1,13.8
2,4,0,0,1,0,29,16.2,0.3,-0.92,-1,
2,4,1,0,1,0,24,7.6,2.6,0.32,0,14.33333333
2,4,2,0,1,0,18,11.1,0.6,2.02,1,13.2
2,4,2,0,1,1,22,11.1,0.6,2.02,1,13.77142857
3,3,2,0,1,1,21,12.4,0.5,1.79,1,13.28571429
2,4,1,0,1,1,19,12.7,3.7,-1.7,1,12.83333333
2,4,1,0,1,1,24,12.4,0.5,1.79,1,14.16666667
2,4,1,0,1,1,19,9.4,-0.8,-3.12,0,11.83333333
2,3,2,0,1,1,20,9.4,-0.8,-3.12,0,11
2,4,0,0,1,0,19,7.6,2.6,0.32,1,15.8
2,4,1,0,1,0,27,9.4,-0.8,-3.12,-1,11
2,3,2,0,1,0,18,15.5,2.8,-4.06,1,13.595
4,3,5,0,1,0,39,12.4,0.5,1.79,-1,
3,5,5,0,1,0,27,12.4,0.5,1.79,-1,12.9
2,4,1,0,1,0,18,9.4,-0.8,-3.12,1,14.935
2,4,0,0,1,0,18,7.6,2.6,0.32,0,
2,4,2,0,1,0,18,16.2,0.3,-0.92,1,12.22142857
3,4,3,0,1,1,21,13.9,-0.3,0.79,1,12
2,3,0,0,1,1,19,10.8,1.4,1.74,0,
2,3,3,0,1,0,19,10.8,1.4,1.74,0,1
2,3,3,0,1,0,24,12.7,3.7,-1.7,0,
1,3,3,0,1,0,29,13.9,-0.3,0.79,-1,11
2,4,2,0,1,1,19,10.8,1.4,1.74,1,
3,4,0,0,1,0,23,8.9,1.4,3.51,1,12.42857143
2,3,1,0,1,0,19,16.2,0.3,-0.92,-1,1.75
2,4,0,0,1,0,26,12.7,3.7,-1.7,0,1.8
2,4,0,0,1,0,18,7.6,2.6,0.32,0,
2,4,2,0,1,0,24,13.9,-0.3,0.79,1,13.75
2,4,2,0,1,0,19,15.5,2.8,-4.06,-1,
2,4,0,0,1,0,18,12.4,0.5,1.79,-1,12
2,4,1,0,1,0,18,10.8,1.4,1.74,1,12.33333333
2,4,2,0,1,0,18,10.8,1.4,1.74,-1,1.85714286
2,4,0,0,1,1,21,9.4,-0.8,-3.12,-1,11
2,3,2,0,1,1,19,8.9,1.4,3.51,1,13.33333333
2,4,0,0,1,1,22,16.2,0.3,-0.92,1,15.5555556
2,4,0,0,1,0,33,10.8,1.4,1.74,1,11.66666667
2,4,2,0,1,0,20,10.8,1.4,1.74,-1,12.2
4,5,5,0,1,0,35,10.8,1.4,1.74,-1,
5,5,5,0,1,0,24,12.4,0.5,1.79,-1,13.3
2,4,2,0,1,0,18,12.7,3.7,-1.7,0,11.33333333
2,4,0,0,1,0,33,9.4,-0.8,-3.12,1,11
2,4,1,0,1,1,22,10.8,1.4,1.74,1,13.8
2,3,2,0,1,1,25,9.4,-0.8,-3.12,1,11.6
2,4,1,0,1,0,20,7.6,2.6,0.32,1,11.2
2,4,0,0,1,0,23,11.1,0.6,2.02,0,13.8
2,4,2,0,1,0,18,15.5,2.8,-4.06,0,
2,3,3,0,1,0,24,13.9,-0.3,0.79,-1,
2,4,3,0,0,0,21,8.9,1.4,3.51,1,13.5
2,3,3,0,1,0,26,8.9,1.4,3.51,-1,
1,4,NA,0,1,0,39,7.6,2.6,0.32,-1,
2,4,2,0,1,0,44,12.7,3.7,-1.7,1,12.33333333
2,4,5,0,1,0,19,13.9,-0.3,0.79,0,13.25
2,4,3,0,1,0,18,8.9,1.4,3.51,1,13.33333333
2,4,0,0,1,1,18,12.4,0.5,1.79,1,14.47777778
2,3,5,0,1,0,19,12.7,3.7,-1.7,0,13.8
2,5,5,0,0,0,19,13.9,-0.3,0.79,-1,
3,4,1,0,1,0,21,8.9,1.4,3.51,-1,13.4
2,3,3,0,1,0,20,16.2,0.3,-0.92,1,
2,4,0,0,1,0,36,9.4,-0.8,-3.12,-1,
1,4,0,0,1,0,43,15.5,2.8,-4.06,1,14.2376923
2,4,2,0,1,0,19,11.1,0.6,2.02,-1,
2,5,3,0,1,0,20,11.1,0.6,2.02,1,12.27272727
2,4,1,0,1,0,19,16.2,0.3,-0.92,-1,
2,3,3,0,1,0,20,15.5,2.8,-4.06,-1,13.25
2,5,6,0,1,0,20,12.4,0.5,1.79,-1,12.3
2,4,3,0,1,0,20,16.2,0.3,-0.92,0,13
2,4,0,0,1,0,18,13.9,-0.3,0.79,1,15
2,3,1,0,1,1,18,8.9,1.4,3.51,0,11
2,4,2,0,1,0,19,10.8,1.4,1.74,1,12.8
2,3,1,0,1,0,18,10.8,1.4,1.74,1,12.57142857
2,4,0,0,1,0,18,7.6,2.6,0.32,-1,12.51666667
2,4,1,0,1,0,20,13.9,-0.3,0.79,0,13
2,4,0,0,1,1,20,7.6,2.6,0.32,0,1.75
2,4,2,0,1,0,20,12.4,0.5,1.79,0,1.66666667
2,4,1,0,1,0,18,9.4,-0.8,-3.12,1,11.4
2,5,2,0,1,0,18,11.1,0.6,2.02,1,14
2,3,3,0,1,0,21,9.4,-0.8,-3.12,-1,11
2,4,2,0,1,0,19,16.2,0.3,-0.92,1,11.25
2,5,2,0,1,0,19,10.8,1.4,1.74,-1,
2,4,1,0,1,1,19,9.4,-0.8,-3.12,1,14.2
2,4,1,0,1,0,19,15.5,2.8,-4.06,1,12.2
2,3,3,0,1,0,19,13.9,-0.3,0.79,-1,
3,4,0,0,1,0,20,12.4,0.5,1.79,1,13.77777778
2,4,1,0,1,1,18,9.4,-0.8,-3.12,0,13.4
2,3,4,0,1,0,18,12.4,0.5,1.79,1,13.66666667
2,3,0,0,1,0,19,12.4,0.5,1.79,1,15.1111111
